street,name,lon,lat,religion,county,subcounty,type
address unknown,the door christian fellowship,36.796659,-1.313608,christian,nairobi city,kibra,religion
address unknown,a.i.c laini saba,36.794065,-1.312286,christian,nairobi city,kibra,religion
address unknown,kibera church of god,36.794897,-1.310945,christian,nairobi city,kibra,religion
address unknown,glory worship center,36.796312,-1.311766,christian,nairobi city,kibra,religion
address unknown,a.c.f church,36.7937,-1.30952,christian,nairobi city,kibra,religion
address unknown,aic church,36.799614,-1.314231,christian,nairobi city,langata,religion
address unknown,end times church,36.785886,-1.313752,christian,nairobi city,kibra,religion
address unknown,kingdom hall,36.788727,-1.31339,christian,nairobi city,kibra,religion
address unknown,living bread church of christ,36.777528,-1.315354,christian,nairobi city,kibra,religion
address unknown,maranatha faith assembly,36.780849,-1.316579,christian,nairobi city,kibra,religion
address unknown,hope gospel church,36.790407,-1.315414,christian,nairobi city,kibra,religion
address unknown,beth face church,36.777731,-1.316861,christian,nairobi city,langata,religion
address unknown,p.c.e.a emmanuel centre kibera parish,36.779774,-1.310736,christian,nairobi city,kibra,religion
address unknown,calvary temple of east africa,36.780342,-1.314745,christian,nairobi city,kibra,religion
address unknown,nyumba ya maombi,36.785519,-1.314692,christian,nairobi city,kibra,religion
address unknown,all saints cathedral diocese,36.786025,-1.314746,christian,nairobi city,kibra,religion
address unknown,bible truth revival church,36.796534,-1.312515,christian,nairobi city,kibra,religion
address unknown,healing and intercessory ministry,36.798023,-1.311801,christian,nairobi city,kibra,religion
address unknown,the door fellowship church,36.774334,-1.308521,christian,nairobi city,kibra,religion
address unknown,ayany mosque,36.775869,-1.309122,muslim,nairobi city,kibra,religion
address unknown,jesus winners church,36.798831,-1.315304,christian,nairobi city,langata,religion
address unknown,centrol church,36.797388,-1.313696,christian,nairobi city,kibra,religion
address unknown,family network cchurch,36.797356,-1.313241,christian,nairobi city,kibra,religion
address unknown,world misionary church,36.801814,-1.315535,christian,nairobi city,langata,religion
address unknown,peace of christ church,36.791864,-1.309535,christian,nairobi city,kibra,religion
address unknown,aic mashimoni loc,36.792816,-1.309593,christian,nairobi city,kibra,religion
address unknown,qdc c church,36.788403,-1.310649,christian,nairobi city,kibra,religion
address unknown,sda church undugu mill,36.798639,-1.317761,christian,nairobi city,kibra,religion
address unknown,st. daniel comboni catholic church,36.798408,-1.317475,christian,nairobi city,kibra,religion
address unknown,the door church,36.797937,-1.317251,christian,nairobi city,kibra,religion
address unknown,evangelical missions worldwide,36.795247,-1.31628,christian,nairobi city,kibra,religion
address unknown,"ack emmanuel church, school & clinic",36.798681,-1.318449,christian,nairobi city,kibra,religion
address unknown,fellowship church of christ,36.798142,-1.318736,christian,nairobi city,kibra,religion
address unknown,mission outreach church,36.795217,-1.315882,christian,nairobi city,kibra,religion
address unknown,pcea church and high school,36.797107,-1.317415,christian,nairobi city,kibra,religion
address unknown,silom fellowship ministry and academy,36.797679,-1.317193,christian,nairobi city,kibra,religion
address unknown,the word felloship church,36.790995,-1.31116,christian,nairobi city,kibra,religion
address unknown,jesus worship centre,36.797162,-1.313443,christian,nairobi city,langata,religion
address unknown,cross mission international centre,36.797541,-1.314079,christian,nairobi city,kibra,religion
address unknown,kibera all nations church,36.773853,-1.310966,christian,nairobi city,kibra,religion
address unknown,apostles believers church,36.776182,-1.312318,christian,nairobi city,kibra,religion
