street,name,lon,lat,religion,county,subcounty,type
address unknown,kingdom hall of jehovas witnesses,36.835505,-1.26621,muslim,nairobi city,kibra,religion
intel college road,calvary worship centre,36.769628,-1.298453,christian,nairobi city,westlands,religion
address unknown,legio maria,36.950088,-1.254173,christian,nairobi city,kasarani,religion
address unknown,church of christ in africa,36.796413,-1.317095,christian,nairobi city,starehe,religion
riara road,parklands baptist church,36.799861,-1.266017,christian,nairobi city,westlands,religion
address unknown,mamlaka hill chapel ruaka,36.795175,-1.206754,christian,nairobi city,njiru,religion
address unknown,runda mosque and community centre,36.81937,-1.215792,christian,nairobi city,kibra,religion
address unknown,runda independent baptist church,36.820518,-1.215846,christian,nairobi city,westlands,religion
address unknown,jj mccarthy centre (assumption sisters of nairobi),36.781818,-1.267484,christian,nairobi city,westlands,religion
address unknown,"rccg, potters house",36.7614,-1.276232,muslim,nairobi city,westlands,religion
address unknown,holy cross catholic church,36.760433,-1.28441,christian,nairobi city,westlands,religion
address unknown,dar ul arqam mosque,36.779811,-1.28551,christian,nairobi city,westlands,religion
chalbi drive,korean united church,36.775203,-1.290323,christian,nairobi city,westlands,religion
serenity road,riruta catholic church,36.738921,-1.28204,christian,nairobi city,westlands,religion
address unknown,ack congo church,36.753873,-1.287208,muslim,nairobi city,westlands,religion
address unknown,christ holy church international (a. k. a. nation builders),36.752948,-1.294388,christian,nairobi city,westlands,religion
address unknown,st thomas ack dagoretti,36.75007,-1.296894,christian,nairobi city,dagoretti,religion
address unknown,vincentian prayer house,36.759868,-1.285528,christian,nairobi city,dagoretti,religion
address unknown,lavington united church,36.770441,-1.281711,christian,nairobi city,dagoretti,religion
address unknown,chabad house of kenya (jewish center),36.766559,-1.271214,christian,nairobi city,dagoretti,religion
address unknown,methodist church of kenya,36.771177,-1.288521,christian,nairobi city,westlands,religion
address unknown,river of god church,36.81151,-1.267447,christian,nairobi city,westlands,religion
address unknown,kumari yoga centre,36.804861,-1.262354,jewish,nairobi city,westlands,religion
address unknown,nanaksar gurudwara,36.795767,-1.255654,christian,nairobi city,westlands,religion
chiromo lane,citam parklands 2,36.815559,-1.260165,christian,nairobi city,westlands,religion
parklands road,city park estate mosque,36.83019,-1.258981,buddhist,nairobi city,westlands,religion
address unknown,mangal mandir,36.820569,-1.271106,sikh,nairobi city,westlands,religion
address unknown,ahmadiyya mosque,36.832202,-1.268726,christian,nairobi city,westlands,religion
address unknown,pcea church - thome,36.86907,-1.226438,muslim,nairobi city,westlands,religion
address unknown,nairobi lighthouse church,36.863612,-1.234267,hindu,nairobi city,starehe,religion
address unknown,pcea karen church,36.705399,-1.320781,muslim,nairobi city,starehe,religion
address unknown,mill hill missionaries,36.743673,-1.312634,christian,nairobi city,kasarani,religion
balozi estate road,saint mark coptic orthodox church,36.732532,-1.307977,christian,nairobi city,kasarani,religion
address unknown,"calvary chapel nairobi, kenya",36.718605,-1.328864,christian,nairobi city,langata,religion
address unknown,st. nicholas anglican cdc,36.714907,-1.32264,christian,nairobi city,langata,religion
ngong road,redeemer bible church,36.713453,-1.319642,christian,nairobi city,dagoretti,religion
address unknown,the salvation army kenya east territorial headquarters,36.729574,-1.340826,christian,nairobi city,langata,religion
address unknown,mount zion worship sanctuar,36.733586,-1.340281,christian,nairobi city,langata,religion
ngong road,new testament church of god - kenya head office,36.727175,-1.349392,christian,nairobi city,langata,religion
address unknown,dominican house of studies,36.724109,-1.359592,christian,nairobi city,langata,religion
address unknown,st. dominic's chapel,36.723701,-1.359624,christian,nairobi city,langata,religion
address unknown,mwangaza jesuit centre,36.721995,-1.362446,christian,nairobi city,langata,religion
address unknown,st. camillus theolicum,36.740865,-1.353561,christian,nairobi city,langata,religion
address unknown,claret villa,36.742339,-1.353262,christian,nairobi city,langata,religion
address unknown,comboni missionaries of the heart of jesus - scholasticate,36.744251,-1.345781,christian,nairobi city,langata,religion
address unknown,langata sda church,36.780105,-1.326373,christian,nairobi city,langata,religion
address unknown,st.michael catholic church langata,36.783488,-1.321034,christian,nairobi city,langata,religion
address unknown,aic langata,36.784128,-1.32719,christian,nairobi city,langata,religion
address unknown,house of grace mega church,36.819347,-1.310266,christian,nairobi city,langata,religion
address unknown,nairobi west mosque,36.825571,-1.305923,christian,nairobi city,langata,religion
address unknown,st.augustine ack church madaraka,36.811039,-1.310565,christian,nairobi city,langata,religion
address unknown,new hope out reach ministries,36.811812,-1.310008,christian,nairobi city,langata,religion
kisauni road,divine novena prayer group,36.821374,-1.301515,muslim,nairobi city,langata,religion
address unknown,the church of jesus christ of latter-day saints nairobi upper hill,36.819243,-1.297562,christian,nairobi city,langata,religion
address unknown,franciscan missionary sisters of saint joseph,36.773464,-1.299411,christian,nairobi city,langata,religion
address unknown,sacred heart parish,36.775821,-1.299589,christian,nairobi city,kibra,religion
upper hill road,eritrean orthodox tewahido church,36.789608,-1.301291,christian,nairobi city,kibra,religion
ngong road,pattni mandir,36.816566,-1.256766,christian,nairobi city,westlands,religion
kilimani road,cms-africa house,36.789901,-1.294872,christian,nairobi city,westlands,religion
kindaruma road,"ack christ church, westlands",36.78817,-1.262185,christian,nairobi city,kibra,religion
address unknown,pcea kahawa station church,36.908476,-1.18334,hindu,nairobi city,westlands,religion
galana road,eucharistic apostles of divine mercy,36.796195,-1.28796,christian,nairobi city,westlands,religion
church road,starehe boys centre mosque,36.840374,-1.279296,christian,nairobi city,westlands,religion
address unknown,trinity revival church,36.844624,-1.288969,christian,nairobi city,kasarani,religion
theta lane,st. joseph and mary parish,36.846417,-1.290109,christian,nairobi city,westlands,religion
general waruingi street,mavuno mashariki church,36.875806,-1.294309,muslim,nairobi city,starehe,religion
butecho,kenya evangelical lutheran church,36.868175,-1.28863,christian,nairobi city,kamukunji,religion
ngiya road,blessed sacrament catholic church,36.881348,-1.291868,christian,nairobi city,kamukunji,religion
rabai road,st. mary's mukuru parish,36.881203,-1.309012,christian,nairobi city,makadara,religion
shule road,"st, daniel comboni catholic church",36.946423,-1.283185,christian,nairobi city,makadara,religion
sagam road,pcea church (ng'undu parish),37.053611,-1.276289,christian,nairobi city,makadara,religion
address unknown,st. gabriel catholic church,37.065599,-1.275143,christian,nairobi city,makadara,religion
address unknown,ruai mosque,37.000702,-1.274,christian,nairobi city,njiru,religion
kanisani road,deliverance church ruai,37.008916,-1.276031,christian,nairobi city,njiru,religion
address unknown,christian outreach ministries,37.014405,-1.276514,christian,nairobi city,njiru,religion
kangundo road,all saint's community chapel,37.026976,-1.273499,muslim,nairobi city,njiru,religion
kangundo road,friends church nairobi west,36.813583,-1.309466,christian,nairobi city,njiru,religion
kangundo road,citam parklands,36.815719,-1.260436,christian,nairobi city,njiru,religion
address unknown,oasis seventh day adventist church,36.709806,-1.324903,christian,nairobi city,njiru,religion
address unknown,faith evangelistic ministry family church,36.71039,-1.327267,christian,nairobi city,langata,religion
2nd parklands avenue,eternity gospel church,36.712983,-1.329509,christian,nairobi city,westlands,religion
langata road,nairobi lighthouse church,36.807171,-1.26914,christian,nairobi city,langata,religion
langata road,st. monica njiru catholic church,36.936373,-1.252805,christian,nairobi city,langata,religion
langata road,aic ngong road,36.77651,-1.298473,christian,nairobi city,langata,religion
greenway,st. mark coptic orthodox church,36.797798,-1.298334,christian,nairobi city,westlands,religion
kangundo road,the purpose center church,36.867612,-1.331218,christian,nairobi city,njiru,religion
ndemi road,gsu mosque,36.866065,-1.244529,christian,nairobi city,westlands,religion
ngong road,jcc thika road church,36.870461,-1.23655,christian,nairobi city,westlands,religion
mombasa road,ruaraka methodist church,36.870465,-1.234236,christian,nairobi city,langata,religion
thika road,thika road baptist church,36.885888,-1.224308,muslim,nairobi city,kasarani,religion
thika road,muthaiga mosque and madrasah,36.842092,-1.261749,christian,nairobi city,kasarani,religion
garden estate road,baptist mission of kenya,36.880955,-1.229806,christian,nairobi city,kasarani,religion
thika road,queen of apostle's adoration chapel,36.884707,-1.228346,christian,nairobi city,kasarani,religion
murang'a road,mavuno lifeway,36.895707,-1.22379,muslim,nairobi city,mathare,religion
thika road,aic kasarani,36.898634,-1.226483,christian,nairobi city,kasarani,religion
thika road,thika road community chapel,36.905208,-1.213191,christian,nairobi city,kasarani,religion
icipe road,sportsview sda church-kasarani,36.903131,-1.223382,christian,nairobi city,kasarani,religion
icipe road,st francis catholic church st claire parish,36.917742,-1.22451,christian,nairobi city,kasarani,religion
address unknown,kahawa barracks mosque,36.921727,-1.197659,christian,nairobi city,kasarani,religion
kasarani mwiki road,christ the king catholic church,36.911618,-1.309009,christian,nairobi city,kasarani,religion
kasarani mwiki road,parklands baptist church eastgate,36.911992,-1.307518,christian,nairobi city,kasarani,religion
thika road,st. peter's a.c.k church embakasi,36.911738,-1.307613,muslim,nairobi city,kasarani,religion
embakasi road,gospel centres international - central,36.898695,-1.319779,christian,nairobi city,embakasi,religion
embakasi road,pefa church - doonholm,36.889902,-1.298062,christian,nairobi city,embakasi,religion
embakasi road,deliverance church donholm,36.891752,-1.299217,christian,nairobi city,embakasi,religion
outer ring road,donholm mosque,36.894324,-1.294147,christian,nairobi city,embakasi,religion
off doonholm road,pcea tena parish,36.888142,-1.292167,christian,nairobi city,embakasi,religion
doonholm road,buruburu community centre church of god,36.881325,-1.288615,christian,nairobi city,embakasi,religion
greenfields phase 2,kag church buruburu,36.878234,-1.277383,muslim,nairobi city,embakasi,religion
manyanja road,wendani community chapel,36.92196,-1.189912,christian,nairobi city,embakasi,religion
mumias south road,holy family catholic church,36.973749,-1.277628,christian,nairobi city,makadara,religion
mumias south road,cathedral of praise,36.883875,-1.324406,christian,nairobi city,makadara,religion
address unknown,tassia catholic,36.89473,-1.309423,christian,nairobi city,kasarani,religion
off eastern bypass,redeemed gospel church,36.887227,-1.311588,christian,nairobi city,njiru,religion
cosmas ndeti road,church of pentecost kenya,36.908948,-1.297035,christian,nairobi city,embakasi,religion
amani court,catholic church st joseph,36.899078,-1.281262,christian,nairobi city,embakasi,religion
quarry road,grace covenant,36.895402,-1.279884,christian,nairobi city,embakasi,religion
address unknown,manmin church,36.894412,-1.280606,christian,nairobi city,embakasi,religion
address unknown,deliverance church umoja innercore campus,36.89089,-1.280855,christian,nairobi city,embakasi,religion
moi drive,assumption of mary,36.888636,-1.281907,christian,nairobi city,embakasi,religion
address unknown,pcea umoja,36.887042,-1.282116,christian,nairobi city,embakasi,religion
moi drive,deliverance church,36.871591,-1.280009,christian,nairobi city,embakasi,religion
address unknown,redeemed gospe,36.874226,-1.285448,christian,nairobi city,embakasi,religion
moi drive,end time message assembly,36.861526,-1.298518,christian,nairobi city,embakasi,religion
rabai road,apostolic faith,36.854665,-1.290158,christian,nairobi city,kamukunji,religion
rabai road,bahati pentecostal,36.859003,-1.288349,christian,nairobi city,makadara,religion
garissa road,shauri moyo seventh day adventist,36.844179,-1.289175,christian,nairobi city,makadara,religion
mbale road,p. c. e. a. sosian,36.906412,-1.281048,christian,nairobi city,makadara,religion
yakuti road,pcea church njiru,36.936722,-1.252838,christian,nairobi city,makadara,religion
butecho,all nations gospel,36.94124,-1.245698,christian,nairobi city,kamukunji,religion
kayole spine road,ack st. anne's,36.930942,-1.235447,christian,nairobi city,embakasi,religion
kangundo road,deliverance church,36.930342,-1.233402,christian,nairobi city,njiru,religion
komarock-mwiki road,p.e.f.a church,36.928559,-1.232217,christian,nairobi city,njiru,religion
a. c. k. road,gospel to nation ministry,36.924944,-1.231755,christian,nairobi city,kasarani,religion
deliverance road,kings outreach,36.881949,-1.214009,christian,nairobi city,kasarani,religion
kasarani mwiki road,ruaraka baptist,36.881721,-1.231912,christian,nairobi city,kasarani,religion
kasarani mwiki road,sts. joseph and anthony centre,36.752599,-1.355626,christian,nairobi city,kasarani,religion
mirema lane,sacred heart of jesus,36.741283,-1.302973,christian,nairobi city,kasarani,religion
address unknown,citam clay city,36.911581,-1.21249,christian,nairobi city,kasarani,religion
bogani east road,"the river of god church, parklands",36.81154377,-1.263617861,christian,nairobi city,langata,religion
pathway lane,st. francis xavier's catholic church,36.81926854,-1.264819198,christian,nairobi city,dagoretti,religion
thika road,ack st marks church westlands,36.79609425,-1.256581447,christian,nairobi city,kasarani,religion
chiromo ln ,impact church,36.80502064,-1.261558425,christian,nairobi city,westlands,religion
parklands road,parklands baptist church,36.80002679,-1.262479018,christian,nairobi city,westlands,religion
uknown address,christ embassy westlands church,36.81128604,-1.264788047,christian,nairobi city,westlands,religion
1870 mpaka rd,jubilee christian church,36.82428679,-1.266880482,christian,nairobi city,westlands,religion
uknown address,city of refuge cathedral - parklands,36.81105606,-1.264696123,christian,nairobi city,westlands,religion
15 chiromo ln,seventh day adventist church - parklands (parklands sda church),36.82307296,-1.266395069,christian,nairobi city,westlands,religion
forest ln,mamlaka hill chapel,36.81190574,-1.279865247,christian,nairobi city,westlands,religion
"lotus plaza, chiromo ln","st. paul's catholic chapel, university of nairobi",36.81455496,-1.277410945,christian,nairobi city,westlands,religion
forest ln,living faith international,36.7948139,-1.261107116,christian,nairobi city,westlands,religion
uknown address,hillsong church nairobi,36.80116537,-1.257674718,christian,nairobi city,westlands,religion
university roundabout,st andrews church old church,36.81386831,-1.278783894,christian,nairobi city,westlands,religion
rhapta rd,"nairobi chapel, waiyaki way",36.78914908,-1.256301757,christian,nairobi city,westlands,religion
karuna rd,sozo church of god,36.79807547,-1.262994933,christian,nairobi city,westlands,religion
uknown address,parklands christian centre (kag),36.81543072,-1.266749632,christian,nairobi city,westlands,religion
waiyaki way,cathedral basilica of the holy family,36.82114666,-1.285117759,christian,nairobi city,westlands,religion
rhapta rd,sda church - gloryland,36.7909375,-1.257468423,christian,nairobi city,westlands,religion
taarifa rd,st austin's parish - msongari,36.77834066,-1.26340064,christian,nairobi city,westlands,religion
koinange st,st. jude catholic chapel rhapta rd.,36.79153738,-1.264195855,christian,nairobi city,starehe,religion
uknown address,pcea westlands,36.80518296,-1.262244325,christian,nairobi city,westlands,religion
rhapta rd,nairobi baptist church westlands - nbc westlands,36.76768068,-1.241185021,christian,nairobi city,westlands,religion
rhapta rd,aic westlands,36.79044799,-1.257035092,christian,nairobi city,westlands,religion
uknown address,universal church,36.82013924,-1.278297982,christian,nairobi city,westlands,religion
ngecha rd,ratc ministry / the go church,36.82408745,-1.274951417,christian,nairobi city,westlands,religion
bohra st,life church international,36.82593281,-1.285935001,christian,nairobi city,westlands,religion
kijabe st,kingdom life church,36.81478816,-1.260169034,christian,nairobi city,starehe,religion
ngara road,ruach west assembly (a ministry of ruach assemblies),36.80474597,-1.259954509,christian,nairobi city,starehe,religion
moi avenu,life mission christian church,36.83101328,-1.269023356,christian,nairobi city,starehe,religion
parklands/highridge,shalom grace church,36.82702215,-1.271640549,christian,nairobi city,westlands,religion
uknown address,newlife sda church,36.80760925,-1.292972868,christian,nairobi city,westlands,religion
muranga road,victor's assembly church,36.82621271,-1.280200541,christian,nairobi city,westlands,religion
uknown address,the voice of god international ministries nairobi,36.81131263,-1.26705866,christian,nairobi city,westlands,religion
ngong avenu,empowerment christian church nairobi ecc,36.82086891,-1.280960978,christian,nairobi city,langata,religion
nduberi rd,regina caeli karen catholic church,36.7106968,-1.3255967,christian,nairobi city,starehe,religion
chiromo ln ,st.teresa catholic church,36.847387,-1.2672829,christian,nairobi city,westlands,religion
moi avenu,holy trinity catholic church kileleshwa,36.7804124,-1.2823027,christian,nairobi city,starehe,religion
uknown address,st paul catholic church,36.8634464,-1.2616941,christian,nairobi city,langata,religion
eastleigh 1st avenue,faith home of kenya,36.8782851,-1.2535902,christian,nairobi city,kamukunji,religion
nyeri road,nairobi baptist church,36.8006812,-1.2977603,christian,nairobi city,westlands,religion
uknown address,newlife sda church,36.8078312,-1.2944671,christian,nairobi city,mathare,religion
uknown address,makongeni seventh day adventist church,36.8544152,-1.2992885,christian,nairobi city,mathare,religion
ngong road,"aic church, makongeni",36.8549958,-1.2978532,christian,nairobi city,westlands,religion
5th avenue ngong,st. stephens church,36.8549988,-1.2955895,christian,nairobi city,westlands,religion
likoni road,st john the evangelist church,36.7460928,-1.3572139,christian,nairobi city,makadara,religion
likoni road,holy trinity church,36.8751007,-1.2763547,christian,nairobi city,makadara,religion
jogoo road,deliverance church langata,36.799501,-1.3227292,christian,nairobi city,makadara,religion
uknown address,loresho community church,36.7510879,-1.2525824,christian,nairobi city,langata,religion
uknown address,our lady of the rosary catholic church,36.8375962,-1.2243704,christian,nairobi city,langata,religion
kikwata crescent,karen vineyard church,36.7139804,-1.3174878,christian,nairobi city,kamukunji,religion
langata road,pcea kahawa farmers church,36.8973162,-1.1897253,christian,nairobi city,langata,religion
langata road,church of the lord,36.8723891,-1.2367028,christian,nairobi city,langata,religion
loresho ridge,maxwells s.d.a. church,36.8076612,-1.2887389,christian,nairobi city,westlands,religion
kiambu road,karengata sda church,36.764322,-1.3418222,christian,nairobi city,westlands,religion
uknown address,central church of the nazarene,36.7985187,-1.2980579,christian,nairobi city,langata,religion
uknown address,house of prayer christian church,36.843676,-1.3270287,christian,nairobi city,langata,religion
uknown address,ku seventh day church,36.930382,-1.1852876,christian,nairobi city,kasarani,religion
thika road,st gabriel catholic church,36.8637006,-1.215736,christian,nairobi city,kasarani,religion
milimani road,p.c.e.a evergreen church,36.829095,-1.2234688,christian,nairobi city,westlands,religion
langata road,faith evangelistic ministry family church,36.7092059,-1.3272719,christian,nairobi city,langata,religion
langata road,faith international church,36.8804248,-1.3091938,christian,nairobi city,langata,religion
ngong road,pcea kasarani chiiko church,36.9033051,-1.2151218,christian,nairobi city,westlands,religion
southern bypass,our lady of guadalupe catholic church,36.7791681,-1.3011853,christian,nairobi city,langata,religion
southern bypass,all africa conference of churches,36.7872909,-1.2602612,christian,nairobi city,langata,religion
uknown address,aic jericho church,36.8721022,-1.287311,christian,nairobi city,kasarani,religion
uknown address,ack st. james church,36.8789642,-1.2818945,christian,nairobi city,kasarani,religion
uknown address,abc church sinai,36.8805494,-1.308948,christian,nairobi city,westlands,religion
uknown address,nairobi international lutheran church,36.7477888,-1.3033857,christian,nairobi city,langata,religion
uknown address,christ the king catholic church kangemi,36.7518405,-1.2688093,christian,nairobi city,langata,religion
uknown address,gospel mission of christ church (heart of worship),36.802431,-1.3166055,christian,nairobi city,makadara,religion
seasons road,st. barnabas anglican church,36.7787608,-1.3231565,christian,nairobi city,kasarani,religion
suna road,hossana community church,36.7905938,-1.3111145,christian,nairobi city,kibra,religion
waiyaki way,legio maria (african church mission),36.7928086,-1.3137166,christian,nairobi city,westlands,religion
shule road,st christine community church,36.7787412,-1.31664,christian,nairobi city,makadara,religion
ol doinyo sabuk road,community church,36.7788403,-1.3171476,christian,nairobi city,makadara,religion
uknown address,holy mountain worship center,36.7946148,-1.317096,christian,nairobi city,makadara,religion
ngong road,nairobi dam pentecostal church,36.7942145,-1.3187506,christian,nairobi city,dagoretti,religion
uknown address,st veronica catholic church,36.7941609,-1.3145085,christian,nairobi city,westlands,religion
uknown address,anglican church,36.7895267,-1.308104,christian,nairobi city,langata,religion
uknown address,olympic catholic church,36.7804005,-1.3141758,christian,nairobi city,langata,religion
uknown address,berith life church,36.7772857,-1.3127317,christian,nairobi city,langata,religion
uknown address,kibera church of god,36.7948972,-1.3109454,christian,nairobi city,langata,religion
uknown address,glory worship center,36.7963117,-1.3117662,christian,nairobi city,kibra,religion
uknown address,end times church,36.7858857,-1.3137524,christian,nairobi city,kibra,religion
uknown address,living bread church of christ,36.7775278,-1.3153537,christian,nairobi city,kibra,religion
uknown address,hope gospel church,36.7904071,-1.3154135,christian,nairobi city,kibra,religion
uknown address,beth face church,36.7777305,-1.316861,christian,nairobi city,kibra,religion
uknown address,bible truth revival church,36.7965338,-1.3125154,christian,nairobi city,kibra,religion
uknown address,the door fellowship church,36.7743338,-1.3085211,christian,nairobi city,kibra,religion
uknown address,jesus winners church,36.7988307,-1.3153039,christian,nairobi city,kibra,religion
uknown address,centrol church,36.7973882,-1.3136958,christian,nairobi city,kibra,religion
uknown address,family network cchurch,36.7973564,-1.3132408,christian,nairobi city,kibra,religion
uknown address,world misionary church,36.8018139,-1.3155353,christian,nairobi city,kibra,religion
uknown address,peace of christ church,36.7918642,-1.3095354,christian,nairobi city,kibra,religion
uknown address,qdc c church,36.7884032,-1.3106485,christian,nairobi city,kibra,religion
uknown address,sda church undugu mill,36.7986385,-1.3177613,christian,nairobi city,kibra,religion
uknown address,the door church,36.7979366,-1.3172506,christian,nairobi city,kibra,religion
uknown address,"ack emmanuel church, school & clinic",36.7986813,-1.318449,christian,nairobi city,langata,religion
uknown address,mission outreach church,36.795217,-1.3158817,christian,nairobi city,langata,religion
uknown address,pcea church and high school,36.7971072,-1.3174148,christian,nairobi city,kibra,religion
uknown address,kibera all nations church,36.7738533,-1.3109656,christian,nairobi city,kibra,religion
uknown address,apostles believers church,36.7761819,-1.312318,christian,nairobi city,langata,religion
uknown address,pentecostal fellowship church,36.7765443,-1.3115372,christian,nairobi city,langata,religion
uknown address,makongeni catholic church,36.7888875,-1.3090973,christian,nairobi city,kibra,religion
uknown address,pag church nyanza region,36.7966191,-1.3180009,christian,nairobi city,kibra,religion
uknown address,handmark baptised church,36.7992605,-1.3171702,christian,nairobi city,langata,religion
uknown address,revival church,36.8007775,-1.3138847,christian,nairobi city,langata,religion
uknown address,reedemed gospel church-laini saba,36.7957813,-1.31104,christian,nairobi city,kibra,religion
uknown address,better life center kibera church,36.7764374,-1.2899044,christian,nairobi city,kibra,religion
uknown address,apostolic fellowship church of kibera,36.7915979,-1.3136297,christian,nairobi city,kibra,religion
uknown address,lindi friends church,36.7939695,-1.3166761,christian,nairobi city,kibra,religion
uknown address,jamhuri sda church,36.7720014,-1.308223,christian,nairobi city,kibra,religion
uknown address,sodid rock revival church,36.772677,-1.3074059,christian,nairobi city,kibra,religion
uknown address,fpkf church,36.7825698,-1.3070928,christian,nairobi city,kibra,religion
uknown address,a.b.c church,36.7953578,-1.3118228,christian,nairobi city,kibra,religion
uknown address,church of mercy,36.782792,-1.3137834,christian,nairobi city,kibra,religion
uknown address,st george orthodox church,36.7751737,-1.3118425,christian,nairobi city,kibra,religion
uknown address,katwekera sda church,36.7811242,-1.3145926,christian,nairobi city,kibra,religion
uknown address,jamhuri church of christ,36.7741156,-1.311314,christian,nairobi city,kibra,religion
uknown address,holy trinity church,36.7833015,-1.3071744,christian,nairobi city,kibra,religion
uknown address,emmanuel baptist church,36.7611497,-1.2918992,christian,nairobi city,langata,religion
uknown address,outreach community church,36.7927317,-1.3114207,christian,nairobi city,langata,religion
uknown address,outreach community church,36.775136,-1.3125127,christian,nairobi city,kibra,religion
uknown address,overcomming faith church (ofc),36.8790204,-1.2289667,christian,nairobi city,westlands,religion
uknown address,the nairobi korean church,36.9038209,-1.220051,christian,nairobi city,kibra,religion
uknown address,anglican church of kenya,36.7871742,-1.2270445,christian,nairobi city,kibra,religion
uknown address,ack - st. mathews church karen,36.7422926,-1.366521,christian,nairobi city,kibra,religion
uknown address,nairobi pentecostal church (central),36.8055689,-1.2916983,christian,nairobi city,kibra,religion
uknown address,nomiya church,36.7948034,-1.318893,christian,nairobi city,kibra,religion
uknown address,world ecclesiastes church,36.7948767,-1.3192606,christian,nairobi city,kibra,religion
uknown address,assumption of mary catholic church umoja,36.8885731,-1.2818619,christian,nairobi city,kibra,religion
uknown address,international bible students association (jehovah's witnesses)church,36.777664,-1.2951481,christian,nairobi city,kibra,religion
uknown address,soweto west llc church,36.7760166,-1.3138062,christian,nairobi city,kibra,religion
uknown address,pefa church imara daima,36.8859177,-1.3219732,christian,nairobi city,kibra,religion
uknown address,maji mazuri gospel church,36.8844571,-1.319684,christian,nairobi city,kibra,religion
kingara road,mukuru catholic church,36.8811835,-1.3145944,christian,nairobi city,westlands,religion
uknown address,african inland church bethany,36.8865994,-1.316536,christian,nairobi city,kibra,religion
uknown address,st. peter's methodist church,36.7855248,-1.3273123,christian,nairobi city,kibra,religion
thika road,the church of jesus christ of latter-day saints,36.8916186,-1.2132981,christian,nairobi city,kasarani,religion
kasarani mwiki road,international christian church center,36.8766822,-1.3262788,christian,nairobi city,kasarani,religion
uknown address,st. john everlasting gospel church,36.8817235,-1.3246154,christian,nairobi city,langata,religion
uknown address,agape fellowship church,36.8744062,-1.318334,christian,nairobi city,langata,religion
uknown address,aic lunga lunga church,36.8707431,-1.3115847,christian,nairobi city,westlands,religion
tembo road,st. bakhita catholic church,36.8887475,-1.3253236,christian,nairobi city,langata,religion
tembo road,faith healing center,36.8664095,-1.3165934,christian,nairobi city,langata,religion
mai mahiu road,rabii church of the holy spirit,36.8857614,-1.3130891,christian,nairobi city,langata,religion
uknown address,jehova witness church,36.8679145,-1.3137404,christian,nairobi city,westlands,religion
uknown address,light evangelical church,36.8712635,-1.313269,christian,nairobi city,kibra,religion
uknown address,goshen pentecostal church,36.8650784,-1.3155504,christian,nairobi city,kibra,religion
uknown address,kwa rueben s.d.a. church,36.8719167,-1.3136137,christian,nairobi city,embakasi,religion
uknown address,agape kingstone fellowship church,36.8630833,-1.3142021,christian,nairobi city,westlands,religion
uknown address,reheboth christian gospel church,36.8851455,-1.3084624,christian,nairobi city,kibra,religion
uknown address,mukuru catholic church,36.8813661,-1.3143775,christian,nairobi city,embakasi,religion
uknown address,jehova witness church,36.8702646,-1.3131426,christian,nairobi city,embakasi,religion
uknown address,glorious land gospel church,36.8874075,-1.3188954,christian,nairobi city,embakasi,religion
uknown address,st. mary's parish catholic church,36.8818283,-1.3140928,christian,nairobi city,embakasi,religion
uknown address,medical missionary of mary(mmm) church,36.8812218,-1.3131337,christian,nairobi city,langata,religion
uknown address,deliverance church eastleigh,36.8471447,-1.2756277,christian,nairobi city,langata,religion
uknown address,good will ministries church,36.8574662,-1.2636558,christian,nairobi city,kasarani,religion
mombasa road,sinai church of god,36.8557846,-1.2636666,christian,nairobi city,embakasi,religion
uknown address,a.i.p.c.a -4b church,36.8559411,-1.2635468,christian,nairobi city,embakasi,religion
uknown address,redeemed goslpel church,36.8496053,-1.2645638,christian,nairobi city,embakasi,religion
uknown address,st marks mathare church,36.8506853,-1.2645723,christian,nairobi city,makadara,religion
uknown address,el-shaddai church,36.8505963,-1.265702,christian,nairobi city,embakasi,religion
uknown address,new jerusalem holy ghost church,36.8537624,-1.2659934,christian,nairobi city,embakasi,religion
uknown address,hosana blessed church,36.8742303,-1.2572847,christian,nairobi city,embakasi,religion
uknown address,evangelical victory church,36.8747371,-1.2563749,christian,nairobi city,embakasi,religion
uknown address,p.c.e.a. church,36.8514569,-1.2627263,christian,nairobi city,embakasi,religion
uknown address,st. teresa's catholic church eastleigh,36.8476377,-1.2670766,christian,nairobi city,embakasi,religion
uknown address,heritage worship church,36.8523697,-1.2643752,christian,nairobi city,embakasi,religion
uknown address,christ the arrow of deliverance church,36.8534916,-1.2643821,christian,nairobi city,makadara,religion
uknown address,christ the way church,36.8514487,-1.265594,christian,nairobi city,embakasi,religion
uknown address,roho israel church of god,36.8573714,-1.2623628,christian,nairobi city,embakasi,religion
uknown address,apostolic fellowship church,36.8592487,-1.2610304,christian,nairobi city,embakasi,religion
uknown address,mowara israel church,36.8575133,-1.2619129,christian,nairobi city,embakasi,religion
uknown address,st john evalasting gospel church,36.8589123,-1.2613645,christian,nairobi city,embakasi,religion
uknown address,redeemed gospel church,36.8575091,-1.26157,christian,nairobi city,embakasi,religion
uknown address,soul winning church,36.8666487,-1.256337,christian,nairobi city,kamukunji,religion
uknown address,st.stephen catholic church,36.8756496,-1.2513864,christian,nairobi city,mathare,religion
uknown address,seventh day adventist church skyway,36.9580603,-1.2788998,christian,nairobi city,mathare,religion
uknown address,mountain view sda church,36.7371395,-1.2614078,christian,nairobi city,mathare,religion
uknown address,rosa mystica spiritual center church,36.7624739,-1.2967958,christian,nairobi city,mathare,religion
