street,institution,lon,lat,amenity,county,subcounty,type
Unknown,The Institute of Professional Security Studies (IPSS),36.86057,-1.2162149,college,Nairobi City,kasarani,institution
Argwings Kodhek Road,IAT Hurlingham Campus,36.7911273,-1.2932447,college,Nairobi City,westlands,institution
State House Avenue,Makini Junior Academy & College,36.8082998,-1.2878336,college,Nairobi City,westlands,institution
Loita Street,Institute of Advanced Technology IAT Pension Towers Campus,36.8175721,-1.2834518,college,Nairobi City,starehe,institution
Tom Mboya Street,Dima College,36.8251877,-1.2840287,college,Nairobi City,starehe,institution
Moi Avenue,JKUAT CBD,36.8213899,-1.2820393,university,Nairobi City,starehe,institution
Wabera Street,Orbit School of Management Studies,36.8215803,-1.2838126,college,Nairobi City,starehe,institution
Muindi Mbingu Street,IAT Ecobank Towers,36.8211111,-1.2856761,college,Nairobi City,starehe,institution
Unknown,Kiwan Computer College,36.7501517,-1.26516,college,Nairobi City,westlands,institution
Unknown,Flames Beauty College,36.7493538,-1.2650351,college,Nairobi City,westlands,institution
Unknown,Purple Hut College,36.7480471,-1.2663048,college,Nairobi City,westlands,institution
Unknown,Lotus Computer College,36.7486089,-1.266383,college,Nairobi City,westlands,institution
Unknown,Montessori Teachers Training College,36.782018,-1.2557577,college,Nairobi City,westlands,institution
Unknown,St.Teresa College,36.7536175,-1.2677583,college,Nairobi City,westlands,institution
Unknown,Ebenezar Computer College,36.7503073,-1.2654909,college,Nairobi City,westlands,institution
Unknown,Blessing Institute of Professional Studies,36.7486761,-1.2664112,college,Nairobi City,westlands,institution
Unknown,Ventures Hairdressing and Beauty College,36.7485851,-1.2653345,college,Nairobi City,westlands,institution
Riara Lane,Hekima University College Institute Of Peace Studies and International Relations,36.7712486,-1.2984074,college,Nairobi City,westlands,institution
Kamiti Road,St Kizito Vocational Training Institute Roysambu Branch,36.8899834,-1.2189765,college,Nairobi City,kasarani,institution
Kasarani Mwiki Road,IAT Kasarani Campus,36.8967316,-1.2176044,college,Nairobi City,kasarani,institution
Garden Estate Road,Nairobi Pentecostal Bible College,36.8666417,-1.2241192,college,Nairobi City,kasarani,institution
Unknown,Project Elimu,36.7797417,-1.314475,college,Nairobi City,kibra,institution
Unknown,Wilma Training College,36.8501217,-1.2640167,college,Nairobi City,mathare,institution
Unknown,Mathare Vocational Training Center,36.86359,-1.2617267,college,Nairobi City,mathare,institution
Unknown,Smart Center Institute and Service,36.74038,-1.2865019,college,Nairobi City,dagoretti,institution
Unknown,Petanns College,36.739758,-1.285975,college,Nairobi City,dagoretti,institution
Unknown,Riruta Business College,36.7394397,-1.2860567,college,Nairobi City,dagoretti,institution
Unknown,Riruta Business College,36.7394397,-1.2860567,college,Nairobi City,dagoretti,institution
Unknown,Saki Hairdressing,36.7424983,-1.2835917,college,Nairobi City,dagoretti,institution
Unknown,Dykaan College,36.748735,-1.2873933,college,Nairobi City,dagoretti,institution
Unknown,Mukwamo Salon and School of Hairdressing,36.7460383,-1.2846467,college,Nairobi City,dagoretti,institution
Unknown,Cataoca EA,36.8270203,-1.2832558,training,Nairobi City,starehe,institution
Unknown,Mathare Vocational Training Center,36.8638023,-1.2615767,college,Nairobi City,mathare,institution
Unknown,Africa Digital Media Institute,36.8198053,-1.2857371,college,Nairobi City,starehe,institution
Unknown,jkuat,36.7596493,-1.266099,university,Nairobi City,westlands,institution
Unknown,Mathare Vocational training Centre,36.8638678,-1.2611119,college,Nairobi City,mathare,institution
Unknown,Mathare Special Training Centre,36.8656506,-1.2618483,college,Nairobi City,mathare,institution
Unknown,Mathare vocational training center,36.8634252,-1.2617323,college,Nairobi City,mathare,institution
Unknown,Eastlands College Of Technology,36.8824353,-1.29807,university,Nairobi City,makadara,institution
Unknown,Kabete Technical Training Institute,36.7269025,-1.2611335,college,Nairobi City,westlands,institution
Unknown,Nairobi Technical Training Institute,36.8339217,-1.2731776,college,Nairobi City,starehe,institution
Unknown,Pc Kinyanjui Technical Training Institute,36.7343314,-1.2958244,college,Nairobi City,dagoretti,institution
Unknown,Pc Kinyanjui Technical Training Institute,36.7343314,-1.2958244,college,Nairobi City,dagoretti,institution
Unknown,Kenya Technical Teachers Training Institute,36.8151719,-1.2397533,college,Nairobi City,westlands,institution
Unknown,Kenya Education Staff Institute (Kesi),36.8227783,-1.2534527,college,Nairobi City,westlands,institution
Embakasi West Kwa maji ICT Hub,Ajira Youth Empowerment Center,36.89788,-1.26907,YEC,Nairobi City,njiru,institution
KICD Desai RD,Ajira Youth Empowerment Center,36.82935,-1.26735,YEC,Nairobi City,westlands,institution
Carlifonia ,Ajira Youth Empowerment Center,36.8345,-1.28177,YEC,Nairobi City,starehe,institution
Kenyatta uni main campus,Ajira Youth Empowerment Center,36.89919,-1.20978,YEC,Nairobi City,kasarani,institution
Sixth Parklands Ave,Ajira Youth Empowerment Center,36.82135,-1.25081,YEC,Nairobi City,westlands,institution
UoN Starehe,Ajira Youth Training Center,36.81569,-1.27109,YEC,Nairobi City,starehe,institution
Kenya education management institute ,Ajira Youth Training Center,36.82496,-1.24912,YEC,Nairobi City,westlands,institution
Off Gongongo Rd,Ayiera Initiative Children and Youth Empowerment and Development Centre,36.89452,-1.23765,YEC,Nairobi City,kasarani,institution
Unknown,Ajira Youth Empowerment Center,36.66889,-1.35175,YEC,Nairobi City,embakasi,institution
Unknown,Ajira Youth Training Center,36.75472,-1.34386,YEC,Nairobi City,langata,institution
Unknown,Ajira Youth Training Center,36.75472,-1.34386,YEC,Nairobi City,langata,institution
Teleposta Towers ,Ajira Digital,36.81728,-1.28,YEC,Nairobi City,starehe,institution
Tom Mboya Street,KIPS Technical College,36.82779,-1.28739,college,Nairobi City,starehe,institution
United Nation Avenue,Kenya Technical Trainers College (KTTC),36.81493,-1.23951,college,Nairobi City,westlands,institution
Wiulson airport,Kenya Aeronautical College,36.81659257,-1.318636376,college,Nairobi City,langata,institution
Unknown,Kibera Soweto East Resource Centre,36.80034756,-1.312064875,YEC,Nairobi City,kibra,institution
Kayole,The Youth Empowerment Centre,36.90966094,-1.276657999,YEC,Nairobi City,embakasi,institution
Kayole,The Youth Empowerment Centre,36.90966094,-1.276657999,YEC,Nairobi City,embakasi,institution
Kayole,INTERNATIONAL YOUTH FELLOWSHIP - KENYA,36.91549743,-1.274426954,YEC,Nairobi City,embakasi,institution
Kayole,INTERNATIONAL YOUTH FELLOWSHIP - KENYA,36.91549743,-1.274426954,YEC,Nairobi City,embakasi,institution
Unknown,Trimstar Youth Empowerment,36.8840834,-1.263100081,YEC,Nairobi City,njiru,institution
Unknown,Kasarani Youth Empowerment Centre,36.91944564,-1.231521873,YEC,Nairobi City,kasarani,institution
Jogoo road,Network For Youth Empowerment Kenya,36.8610084,-1.291653171,YEC,Nairobi City,makadara,institution
Naivasha rd next to BP petrostation,Dagoretti Empowerment Centre,36.7411925,-1.284375119,YEC,Nairobi City,dagoretti,institution
Eden Dispensary,Kenya Youth Empowerment Programme,36.78925769,-1.325391547,YEC,Nairobi City,langata,institution
Eden Dispensary,Kenya Youth Empowerment Programme,36.78925769,-1.325391547,YEC,Nairobi City,langata,institution
Hazina Towers,International Youth Empowerment Center,36.8158652,-1.278540092,YEC,Nairobi City,starehe,institution
"Parklands rd, victoria Plaza",CAP YOUTH EMPOWERMENT INSTITUTE,36.80573718,-1.260691692,YEC,Nairobi City,westlands,institution
Unknown,Network For Youth Empowerment Kenya,36.86152713,-1.290724986,YEC,Nairobi City,makadara,institution
