street,company_name,lon,lat,landuse,county,subcounty,type
unknown,unknown,36.8663216,-1.3281538,industrial,nairobi city,embakasi,industry
unknown,unknown,36.8507634,-1.325405,industrial,nairobi city,embakasi,industry
unknown,unknown,36.8579802,-1.3262433,industrial,nairobi city,makadara,industry
unknown,unknown,36.8594769,-1.326553,industrial,nairobi city,starehe,industry
unknown,unknown,36.8831692,-1.3344343,industrial,nairobi city,starehe,industry
unknown,unknown,36.857692,-1.3089578,industrial,nairobi city,langata,industry
unknown,unknown,36.8594326,-1.3038626,industrial,nairobi city,langata,industry
unknown,unknown,36.8588929,-1.3036328,industrial,nairobi city,makadara,industry
unknown,unknown,36.8633943,-1.3046569,industrial,nairobi city,starehe,industry
unknown,unknown,36.8639824,-1.3035996,industrial,nairobi city,starehe,industry
unknown,unknown,36.8711583,-1.3042749,industrial,nairobi city,starehe,industry
unknown,unknown,36.8713285,-1.3055362,industrial,nairobi city,starehe,industry
unknown,unknown,36.8673679,-1.3057734,industrial,nairobi city,starehe,industry
enterprise road,unknown,36.8615588,-1.3069962,industrial,nairobi city,makadara,industry
unknown,unknown,36.8632539,-1.3057806,industrial,nairobi city,starehe,industry
unknown,unknown,36.8634034,-1.3068768,industrial,nairobi city,makadara,industry
unknown,unknown,37.0035484,-1.2401365,industrial,nairobi city,starehe,industry
unknown,unknown,36.9882701,-1.2417084,industrial,nairobi city,starehe,industry
unknown,unknown,36.8432123,-1.3025538,industrial,nairobi city,starehe,industry
unknown,kenya wines agency (k.w.a.l),36.8417326,-1.3086592,industrial,nairobi city,starehe,industry
unknown,coca cola juices,36.8565046,-1.3043267,industrial,nairobi city,starehe,industry
unknown,british american tobacco kenya ltd,36.8553214,-1.3047672,industrial,nairobi city,langata,industry
unknown,unknown,36.8537345,-1.3048442,industrial,nairobi city,langata,industry
unknown,unknown,36.8538038,-1.3053264,industrial,nairobi city,langata,industry
unknown,unknown,36.8536327,-1.304074,industrial,nairobi city,langata,industry
unknown,unknown,36.8534898,-1.3022686,industrial,nairobi city,langata,industry
unknown,unknown,36.8555177,-1.3065725,industrial,nairobi city,langata,industry
mombasa road,unknown,36.8558227,-1.3087007,industrial,nairobi city,langata,industry
mombasa road,unknown,36.8458003,-1.3061685,industrial,nairobi city,langata,industry
nairobi park east gate road,unknown,36.8489036,-1.3038555,industrial,nairobi city,langata,industry
nairobi park east gate road,unknown,36.8460289,-1.3035739,industrial,nairobi city,langata,industry
unknown,unknown,36.8366446,-1.2952008,industrial,nairobi city,starehe,industry
unknown,unknown,36.8268153,-1.2964809,industrial,nairobi city,embakasi,industry
unknown,unknown,36.8494608,-1.3080931,industrial,nairobi city,kasarani,industry
unknown,unknown,36.8511916,-1.3093403,industrial,nairobi city,kasarani,industry
unknown,unknown,36.8509145,-1.3071678,industrial,nairobi city,kasarani,industry
