@id,addr:street,amenity,name,lon,lat,operator,operator:type
,Kayole,YEC,The Youth Empowerment Centre,36.90966094,-1.276657999,,
,Kayole,YEC,INTERNATIONAL YOUTH FELLOWSHIP - KENYA,36.91549743,-1.274426954,NGO,
,,YEC,Trimstar Youth Empowerment,36.8840834,-1.263100081,,
,,YEC,Kasarani Youth Empowerment Centre,36.91944564,-1.231521873,,
,Jogoo road,YEC,Network For Youth Empowerment Kenya,36.8610084,-1.291653171,,
,Naivasha rd next to BP petrostation,YEC,Dagoretti South Empowerment Centre,36.7411925,-1.284375119,,
,Eden Dispensary,YEC,Kenya Youth Empowerment Programme,36.78925769,-1.325391547,,
,Hazina Towers,YEC,International Youth Empowerment Center,36.8158652,-1.278540092,,
,"Parklands rd, victoria Plaza",YEC,CAP YOUTH EMPOWERMENT INSTITUTE,36.80573718,-1.260691692,,
,,YEC,Network For Youth Empowerment Kenya,36.86152713,-1.290724986,,
,Kakamega Mumias rd,YEC,Kakamega Youth Empowerment Forum (KYEF),36.87937991,-1.279569803,,
,"Kariobangi North, Cooperative Bank",YEC,Kenya Slum Youths Development Organization,36.82718669,-1.284482329,,
,Nyerere rd Luther Plaza,YEC,Youth Empowerment Support Services - Kenya,36.81433884,-1.278809484,,
,Mutarakwa rd,YEC,Kibera Slums Youth Development Programme,36.82079496,-1.288550009,,
,Nairobi Education center Haile selassie ave,YEC,Mission For Youth Development,36.82194296,-1.291909544,,
,"Aldin Hse, Haile Selassie ave",YEC,Kenya Youth Development Assistance,36.82388516,-1.290838241,,
,Mama Ngina st,,Kenya youth development foundation,36.82152427,-1.286496114,,
,Savannah Donholm,,Kenya Youth Development Assistance,36.90162404,-1.290804492,,
,Spine Rd behind Naivas Supermarket ,,Kenya Slum youth Development Organization,36.91271749,-1.269833446,,
,Village Market,,Malava Women And Youth Empowerment Centre,36.80483656,-1.229320602,,
,Olenguruone Rd,,Centre For Women And Youth Development,36.77793103,-1.278467558,,
,Ndururumo St,,Mathare Kasarani Youth Development Organisation,36.87204798,-1.256199539,,
,"Ndemi close, off Muringa Rd",,Mission For Youth Development,36.77654052,-1.295246426,,
,Chyulu Rd,,Mukoa Youth Development Orgasation,36.81101702,-1.297132687,,
,Jamhuri Estate Kibera Dr,,Remy Youth Development And Relief Organization,36.768331,-1.30252496,,
,Gitanga Rd,,Kabiro Youth Center,36.75157969,-1.285910572,,
,Kangundo Rd,,Mathare Youth Sports Association - MYSA Kenya,36.9092139,-1.259785823,,
,Delight Apartments Diani Rd off Ole Odume Rd,,Youth Alive! Kenya,36.77536647,-1.290447292,,
,Loita Street,,National Youth Council Kenya,36.8165642,-1.275960856,,
,,,Identity 254,36.83721023,-1.301907749,,
,"Tetu Apartments Ralph Bunce Rd, Milimani Ln",,Pawa254,36.80577253,-1.279866125,,
,Dagoretti South,,CFK Africa Young Health and Wellness Center,36.77943953,-1.310223568,,
,Kariobangi Light Industries ,,Slum Boys Youth Development Project,36.88025412,-1.251559472,,
,Goan Institute 1 Juja Rd ,,True Talents of Africa,36.83319219,-1.260149725,,
,Kasuku Rd Ibanda,,Marianne Foundation for Youth Development,36.79233633,-1.289416793,,
,"MNG Apartments, Ndemi Rd",,The Youth Agenda,36.77783095,-1.295251795,,
,Mukuru,,HOPE worldwide Kenya - Mukuru Center of HOPE,36.87105207,-1.312555441,,
,Kwa D.O Rd Off Spine Rd,,Embakasi Youth Resource Centre,36.90875895,-1.26018273,,
,Kariobangi South Kamunde Rd,,Youth Initiatives Kenya (Yike),36.88185652,-1.254882773,,
